market,t_index,delta_ig,volume,regime
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1176,0.0031911799715432787,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1178,0.0032178643905049764,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1180,0.0032178643905049764,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1182,0.0031911799715432787,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1185,0.0032178643905049764,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1214,0.0030434953985980506,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1222,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1223,0.009345086778550726,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1226,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1229,0.0030667665707814207,1.05,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1231,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1234,0.00927215306522422,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1235,0.003139700284107927,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1251,0.003139700284107927,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1252,0.003165135699870203,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1255,0.003165135699870203,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1257,0.003165135699870203,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1263,0.0062053864944427994,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1265,0.003090541825757298,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1266,0.009419680652663631,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1269,0.0031148446686855014,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1271,0.0031148446686855014,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1272,0.009496015955521409,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1274,0.015828725014711886,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1276,0.00630483598397813,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1277,0.006409044362048255,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1281,0.003139700284107927,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1282,0.003165135699870203,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1298,0.003090541825757298,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1302,0.006254544952793428,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1303,0.003165135699870203,40.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1310,0.0030667665707814207,0.0,activity_bin_2
