threshold,mean_score_low,mean_score_high,n_low,n_high,gap_high_minus_low
9.273843421393273,0.44767401143382307,0.0029481996736593114,6,44,-0.44472581176016374
10.335318049082456,0.38386350984807455,0.0029934950071494456,7,43,-0.3808700148409251
11.396792676771641,0.33588069611712773,0.0030647448882601463,8,42,-0.3328159512288676
12.458267304460826,0.24500724914866237,0.00309449009252979,11,39,-0.24191275905613258
13.519741932150009,0.20731398004894508,0.0032617057731800475,13,37,-0.20405227427576503
14.581216559839193,0.20731398004894508,0.0032617057731800475,13,37,-0.20405227427576503
15.642691187528378,0.19250591004548473,0.0033522809335322697,14,36,-0.18915362911195246
16.70416581521756,0.1832322344909268,0.0019223239108584692,15,35,-0.18130991058006832
17.765640442906744,0.15347691343024464,0.0016618878906107725,18,32,-0.15181502553963386
18.82711507059593,0.14550454970605664,0.0016509164460926336,19,31,-0.143853633259964
19.888589698285113,0.14550454970605664,0.0016509164460926336,19,31,-0.143853633259964
20.950064325974296,0.13822937222077883,0.0017059136609457206,20,30,-0.1365234585598331
22.011538953663482,0.12024304107609392,0.001858329981251408,23,27,-0.11838471109484251
23.073013581352665,0.0996323113957226,0.0011845515983507097,28,22,-0.09844775979737189
24.134488209041848,0.09619674893381837,0.0012409111982483612,29,21,-0.09495583773557001
25.195962836731034,0.08736643098147798,0.0011132812687029174,32,18,-0.08625314971277506
26.257437464420217,0.08225668505121704,0.001189847656410559,34,16,-0.08106683739480648
27.3189120921094,0.07990652262119655,0.0012691041668045945,35,15,-0.07863741845439196
28.380386719798587,0.07774250817812646,0.0012167542736711311,36,14,-0.07652575390445533
29.44186134748777,0.07774250817812646,0.0012167542736711311,36,14,-0.07652575390445533
30.503335975176952,0.07774250817812646,0.0012167542736711311,36,14,-0.07652575390445533
31.56481060286614,0.07774250817812646,0.0012167542736711311,36,14,-0.07652575390445533
32.626285230555325,0.07370350781799279,0.0012526297633518942,38,12,-0.07245087805464089
33.687759858244505,0.062438929559427474,0.0012026048139423978,45,5,-0.06123632474548508
